RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD00219,CU470,,T. thermophila,"pmr1-1/pmr1-1; cnj5-1/cnj5-1 (cnj5-1; pmr1-1; cnj5, pm-r, VI)",,,CNJ5,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00220,CU471,,T. thermophila,"pmr1-1/pmr1-1; cnj5-1/cnj5-1 (CNJ5; PMR1; pm-s, IV)",,,,,,
TSC_SD00223,CU474,,T. thermophila,"PMR1/pmr1-1; GAL1/gal1-1; CNJ5/cnj5-1 (gal1-1; pmr1-1; gal-r, pm-r, VI)",,,,,,
TSC_SD00224,CU475,,T. thermophila,"pmr1-1/pmr1-1 (?; ?, ?)",,,,,,Tetraploid.
TSC_SD00225,CU476,,T. thermophila,"pmr1-1/pmr1-1 (?; ?, IV)",,,,,,Tetraploid.
TSC_SD00226,CU477,,T. thermophila,"(?; ?, ?)",,,,,,Tetraploid.
TSC_SD00227,CU478,,T. thermophila,"chx1-1/CHX1; LCD1/lcd1-1 (CHX1; LCD1; cy-r, ?)",,,,,,
TSC_SD00228,CU479,,T. thermophila,"bcd1-1/bcd1-1; lcd1-1/lcd1-1 (bcd1-1; lcd1-1; bcd1, lcd1, ?)",,,,,,
TSC_SD00229,CU480,,T. thermophila,"BCD1/bcd1-1; LCD1/lcd1-1 (BCD1; LCD1, IV)",,,,,,
TSC_SD00230,CU481,,T. thermophila,"gal1-1/gal1-1 (GAL1[A]; gal-s, III)",,,,,,2-deoxy-D-galactose resistance functional heterokaryon. Star side exconjugant.
TSC_SD00231,CU482,,T. thermophila,"pmr1-1/pmr1-1; Nulli 3 (CHX1; PMR1/pmr1-1; cy-s, pm-r, IV)",,,,,,
TSC_SD00232,CU483,,T. thermophila,pmr1-1/pmr1-1; Nulli 3 (IV),,,,,,
TSC_SD00233,CU484,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 4 (CHX1; mpr1-1; cy-s, mp-r, III)",,,,,,
TSC_SD00234,CU485,,T. thermophila,"CHX1/CHX1; mpr1-1/mpr1-1; Nulli 4 (CHX1; mpr1-1; cy-s, mp-r, III)",,,,,,
TSC_SD00235,CU486,,T. thermophila,"pmr1-1/pmr1-1; Nulli 3 (CHX1; PMR1; cy-s, pm-s, VII)",,,,,,
TSC_SD00236,CU487,,T. thermophila,"pmr1-1/pmr1-1; Nulli 3 (CHX1; PMR1; cy-s, pm-s, VII)",,,,,,
TSC_SD00237,CU488,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 4 (CHX1; MPR1; cy-s, mp-s, VII)",,,,,,
TSC_SD00238,CU489,,T. thermophila,"mpr1-1/mpr1-1; Nulli 4 (CHX1; MPR1; cy-s, mp-s, VII)",,,,,,
TSC_SD00239,CU490,,T. thermophila,"pmr1-1/0; Mono 1,2 (pm-r, V)",,,,,,
TSC_SD00240,CU491,,T. thermophila,"pmr1-1/0; Mono 1,2 (pm-r, II)",,,,,,
TSC_SD00241,CU492,,T. thermophila,"chx1-1/chx1-1; MPR1/MPR1; Nulli 5 (CHX1; mpr1-1; cy-s, mp-r, II)",,,,,,
TSC_SD00242,CU493,,T. thermophila,"mpr1-1/mpr1-1; Nulli 5 (mpr1-1; mp-r, II)",,,,,,
TSC_SD00243,CU494,,T. thermophila,"chx1-1/chx1-1; Nulli 5 (CHX1; cy-s, III)",,,,,,
TSC_SD00244,CU495,,T. thermophila,"mpr1-1/mpr1-1; Nulli 5 (MPR1; mp-s, III)",,,,,,
TSC_SD00245,CU496,,T. thermophila,chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 4 (?),,,,,,
TSC_SD00246,CU497,,T. thermophila,pmr1-1/pmr1-1; Nulli 3 (VII),,,,,,
TSC_SD00247,CU498,,T. thermophila,"chx1-1/CHX1; mpr1-1/0; Mono 2,3 (chx1-1/CHX1; cy-r, mp-r, IV)",,,,,,
TSC_SD00248,CU499,,T. thermophila,"mpr1-1/mpr1-1; Nulli 1 (MPR1; mp-s, VII)",,,,,,
TSC_SD00249,CU500,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1 (CHX1; PMR1/pmr1-1; cy-s, pm-r, II)",,,,,,
TSC_SD00250,CU501,,T. thermophila,"Mpr?/Mpr?; Nulli 1 (MPR1; cy-r, mp-s, pm-r, VII)",,,,,,
TSC_SD00251,CU502,,T. thermophila,"Mpr?/Mpr?; Nulli 1 (MPR1; cy-r, mp-s, pm-r, ?)",,,,,,
TSC_SD00252,CU503,,T. thermophila,"Mpr?/Mpr?; Nulli 1,5 (MPR1; cy-r, mp-s, pm-r, VII)",,,,,,
TSC_SD00253,CU504,,T. thermophila,"Mpr?/Mpr?; Nulli 1,5 (MPR1; cy-r, mp-s, pm-r, ?)",,,,,,
TSC_SD00254,CU505,,T. thermophila,"chx1-1/CHX1; mpr1-1/0; Mono 2,3 (chx1-1/CHX1; cy-r, mp-r, VII)",,,,,,
TSC_SD00257,CU508,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; H1(neo)/+ (chx1-1/CHX1; MPR1/mpr1-1; cy-r, mp-r, pm-r, II)",,,,,,
TSC_SD00258,CU509,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; H1(neo)/+ (chx1-1/CHX1; MPR1/mpr1-1; cy-r, mp-r, pm-r, IV)",,,,,,
TSC_SD00264,CU515,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1 (CHX1; PMR1; cy-s, pm-s, tr, III)",,,,,,
TSC_SD00265,CU516,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; PMR1/pmr1-1; Mono 3,5 (chx1-1/CHX1; PMR1/pmr1-1; MPR1/mpr1-1; cy-r, mp-r, pm-r, IV)",,,,,,
TSC_SD00266,CU517,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; PMR1/pmr1-1; Mono 3,5 (chx1-1/CHX1; PMR1/pmr1-1; MPR1/mpr1-1; cy-r, mp-r, pm-r, II)",,,,,,
TSC_SD00267,CU518,,T. thermophila,"(mp-r, pm-r, tax-r, II)",BTU1::neo,BTU1::neo/BTU1::neo,,,,
TSC_SD00268,CU519,,T. thermophila,"(pm-r, VI)",BTU1::neo,BTU1::neo/BTU1::neo,,,,
TSC_SD00269,CU520,,T. thermophila,"(pm-r, IV)",BTU1::neo,BTU1::neo/BTU1::neo,,,,
TSC_SD00270,CU521,,T. thermophila,"mpr1-1/mpr1-1 (mpr1-1; cy-r, mp-r, ory-r, pm-r, tax-s, IV)","btu1-1::btu1-1M350K
HHF1::neo","btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous)
",,,,
TSC_SD00271,CU522,,T. thermophila,"mpr1-1/mpr1-1 (mpr1-1; mp-r, ory-r, tax-s, IV)",btu1-1::btu1-1M350K (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00272,CU523,,T. thermophila,(II),,,,,,
TSC_SD00273,CU524,,T. thermophila,"Uni 4 (cnj3, pm-r, VII)",,,,,,
TSC_SD00274,CU525,,T. thermophila,"pmr1-1/pmr1-1; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00275,CU526,,T. thermophila,"Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00276,CU527,,T. thermophila,"Uni 3 (cnj3, pm-r, VII)",,,,,,
TSC_SD00277,CU528,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00278,CU529,,T. thermophila,"Uni 2R (cnj3, pm-r, VII)",,,,,,
TSC_SD00280,CU531,,T. thermophila,"chx1-1/chx1-1 (chx1-1; cy-r, ory-r, MIX)",btu1-1::btu1-1M350K  (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00281,CU532,,T. thermophila,"(ory-r, V)",btu1-1::btu1-1M350K (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00282,CU533,,T. thermophila,(VII),,,,,,
TSC_SD00283,CU534,,T. thermophila,(IV),,,,,,
TSC_SD00284,CU535,,T. thermophila,(II),,,,,,
TSC_SD00285,CU536,,T. thermophila,(IV),,,,,,
TSC_SD00286,CU537,,T. thermophila,(IV),,,,,,
TSC_SD00287,CU538,,T. thermophila,"Uni 4 (cnj3, pm-r, VII)",,,,,,
TSC_SD00288,CU539,,T. thermophila,"Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00289,CU540,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00290,CU541,,T. thermophila,"Uni 3 (cnj3, pm-r, VII)",,,,,,
TSC_SD00291,CU542,,T. thermophila,"Uni 3R (cnj3, pm-r, VII)",,,,,,
TSC_SD00292,CU543,,T. thermophila,"Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00293,CU544,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00294,CU545,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00295,CU546,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00296,CU547,,T. thermophila,"Uni 5 (cnj3, pm-r, VII)",,,,,,
TSC_SD00297,CU548,,T. thermophila,"Uni 4 (cnj3, pm-r, VII)",,,,,,
TSC_SD00298,CU549,,T. thermophila,"Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00299,CU550,,T. thermophila,(II),,,,,,
TSC_SD00301,CU552,,T. thermophila,(II),,,,,,
TSC_SD00302,CU553,,T. thermophila,(IV),,,,,,
TSC_SD00303,CU554,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00304,CU555,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00305,CU556,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00306,CU557,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00307,CU558,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00308,CU559,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00309,CU560,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00310,CU561,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00312,CU563,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00313,CU564,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00314,CU565,,T. thermophila,(IV),,,,,,"A temperature sensitive, cell division arrest mutant. Incomplete divisions cause irregularly shaped cells known familiarly as “balloon animals” "
TSC_SD00316,CU567,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00317,CU568,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00318,CU569,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00319,CU570,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00320,CU571,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00321,CU572,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00322,CU573,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00327,CU578,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00328,CU579,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00329,CU580,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00330,CU581,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00331,CU582,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00332,CU583,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00333,CU584,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00334,CU585,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00335,CU586,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00336,CU587,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00337,CU588,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00338,CU589,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00339,CU590,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00340,CU591,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00341,CU592,,T. thermophila,"[chx1-1/chx1-1[B] or CHX1/CHX1[C3]]; Uni 1 (cnj3, pm-r, VII)",,,,,,
TSC_SD00342,CU593,,T. thermophila,"[PMS/PMS B or PMR/PMR C3]; Uni 2 (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00343,CU594,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00344,CU595,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00345,CU596,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00346,CU597,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00347,CU598,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00348,CU599,,T. thermophila,"Uni 2 [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00349,CU600,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00350,CU601,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00351,CU602,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00352,CU603,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00353,CU604,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00354,CU605,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00355,CU606,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00356,CU607,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00357,CU608,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00358,CU609,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00359,CU610,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00360,CU611,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00361,CU612,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00362,CU613,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00363,CU614,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00364,CU615,,T. thermophila,"Uni 2 [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00365,CU616,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00366,CU617,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00367,CU618,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00368,CU619,,T. thermophila,"Uni 2 [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00369,CU620,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00370,CU621,,T. thermophila,"Uni 2 [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00371,CU622,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00372,CU623,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00373,CU624,,T. thermophila,"Uni 4 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00374,CU625,,T. thermophila,"Uni 5 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00375,CU626,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00376,CU627,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00377,CU628,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00378,CU629,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00379,CU630,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00380,CU631,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00381,CU632,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00382,CU633,,T. thermophila,"Uni 2L [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00383,CU634,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00384,CU635,,T. thermophila,"Uni 2L [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00385,CU636,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00386,CU637,,T. thermophila,"Uni 1L? [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00387,CU638,,T. thermophila,"Uni 1R? [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00388,CU639,,T. thermophila,"Uni 2R? [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00389,CU640,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00390,CU641,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00391,CU642,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00395,CU646,,T. thermophila,"Uni 2L? [PMS/PMS B or PMR/PMR C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00396,CU647,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00397,CU648,,T. thermophila,"Uni 1R [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00398,CU649,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00399,CU650,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00400,CU651,,T. thermophila,"Uni 1 [chx1-1/chx1-1[B] or CHX1/CHX1[C3]] (cnj3, pm-r, VII)",,,,,,
TSC_SD00401,CU652,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00402,CU653,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00403,CU654,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00404,CU655,,T. thermophila,"Uni 3 [B or C3] (cnj3, pm-r, VII)",,,,,,
TSC_SD00406,CU656,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00407,CU657,,T. thermophila,"Uni 2R [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00408,CU658,,T. thermophila,"Uni 3L [B or C3] (pmr1-1; cnj3, pm-r, VII)",,,,,,
TSC_SD00409,CU659,,T. thermophila,"Uni 4 (cnj3, pm-r, VII)",,,,,,
TSC_SD00410,CU660,,T. thermophila,Uni 4 (VI),,,,,,
TSC_SD00411,CU661,,T. thermophila,Uni 4 (VI),,,,,,
TSC_SD00412,CU662,,T. thermophila,"Uni 4 (cnj3, pm-r, VII)",,,,,,
TSC_SD00413,CU663,,T. thermophila,"Uni 3 (cnj3, pm-r, VI)",,,,,,
TSC_SD00414,CU664,,T. thermophila,"Uni 3 (cnj3, pm-r, VII)",,,,,,
TSC_SD00415,CU665,,T. thermophila,"Uni 3 (cnj3, pm-r, VI)",,,,,,
TSC_SD00416,CU666,,T. thermophila,"Uni 3 (cnj3, pm-r, VII)",,,,,,
TSC_SD00480,CU724,,T. thermophila,"chx1-1/chx1-1 (chx1-1; cy-r, mp-r, ory-r, pm-r, tax-r, ?)","btu1-1::btu1-1M350K 
HHF1::neo2",btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00481,CU725,,T. thermophila,"chx1-1/chx1-1 (chx1-1; cy-r, ory-r, tax-s, VII)",btu1-1::btu1-1M350K (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00482,CU726,,T. thermophila,"(cy-r, mp-r, ory-r, pm-r, tax-r, ?)","btu1-1::btu1-1M350K
HHF1::neo2",btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00483,CU727,,T. thermophila,"(ory-r, tax-s, V)",btu1-1::btu1-1M350K (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00506,CU530,,T. thermophila,"mpr1-1/mpr1-1 (mpr1-1; mp-r, ory-r, ?)",btu1-1::btu1-1M350K (homozygous),btu1-1::btu1-1M350K/btu1-1::btu1-1M350K (homozygous),,,,
TSC_SD00516,CU760,,T. thermophila,"mpr1-1/mpr1-1; cdaA1-1/cdaA1-1; Nulli 1 (cdaA1-1; mpr1-1; cdaA, mp-r, IV)",,,,,,
TSC_SD00569,CU813,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1 (CHX1; pmr1-1; cy-s, pm-r, II)",,,,,,
TSC_SD00591,CU835,,T. thermophila,"mpr1-1/mpr1-1; pmr1-1/pmr1-1 (MPR1; pmr1-1; mp-s, pm-r, ?)",,,,,,
TSC_SD00625,IA134,cdaD-2 III,T. thermophila,"cdaD-2/cdaD-2 (cdaD-2; cdaD, III)",,,"CDAD (cell-division arrest D, originally reported as mo6)",F2 following an outcross to B1868 VII of an assortant derived from nitroso-guanidine mutagenesis of B1868 VI x VII in 1974. ,"Gene: 
Frankel J, Jenkins LM, Doerder FP, Nelsen EM. 1976. Mutations affecting cell division in tetrahymena pyriformis. I. selection and genetic analysis. Genetics 83(3):489-506.

Frankel J, Nelsen EM, Jenkins LM. 1977. Mutations affecting cell division in tetrahymena pyriformis, syngen 1. II. phenotypes of single and double homozygotes. Dev Biol 58(2):255-75.

Bruns PJ, Brussard TB, Merriam EV. 1983. Nullisomic tetrahymena. II. a set of nullisomics define the germinal chromosomes. Genetics 104(2):257-70.",cdaD-2 is a ts mutation that causes cell division arrest. Located on chromosome 5.
TSC_SD00626,IA171,fat4-1 III,T. thermophila,"fat4-1/fat4-1 (fat4-1; fat4, III)",,,FAT4 (also known as fatD),F2 following outcross to B1975 III of an assortant derived from nitroso-guanidine mutagenesis of B1975 in 1976. ,"Gene: 
Bruns PJ, Brussard TB, Merriam EV. 1983. Nullisomic tetrahymena. II. a set of nullisomics define the germinal chromosomes. Genetics 104(2):257-70.","fat4-1 is a ts mutation which causes a round, fat cell shape. Located on chromosome 5. Cortical phenotype was not assessed. "
TSC_SD00627,IA172,fat4-1 VII,T. thermophila,"fat4-1/fat4-1 (fat4-1; fat4, VII)",,,FAT4 (also known as fatD),F2 following outcross to B1975 III of an assortant derived from nitroso-guanidine mutagenesis of B1975 in 1976. ,"Gene: 
Bruns PJ, Brussard TB, Merriam EV. 1983. Nullisomic tetrahymena. II. a set of nullisomics define the germinal chromosomes. Genetics 104(2):257-70.","fat4-1 is a ts mutation which causes a round, fat cell shape. Located on chromosome 5. Cortical phenotype was not assessed."
TSC_SD00628,IA217,disA-1 II,T. thermophila,"disA-1/disA-1 (disA-1; disA, II)",,,DISA (disorganized A),"Homozygous F2 clones, obtained following an outcross to B1868 VII of an assortant derived from nitrosoguanidine mutagenesis of B1868 VI x VII in 1973, were crossed to each other in 1978 to obtain a F3 homozygote that was then crossed in 1979 to A-star to obtain an ""F4"" homozygote. Sister to IA219.","Gene:
Bruns PJ, Brussard TB, Merriam EV. 1983. Nullisomic tetrahymena. II. a set of nullisomics define the germinal chromosomes. Genetics 104(2):257-70.","disA-1 is a partially ts mutation that brings about disorganization of ciliary rows, without affecting the positioning of major cortical landmarks, or cytokinesis."
